iteration_num	sequential_player	serpentine_player	choice	sum	sd	spot	true_rank	rank	sum_rank	sd_rank	num_players
8	Player3	Player3	Pick #3	9.91	0.85	s16	18	5	5	9	Four players
8	Player4	Player4	Pick #4	9.22	0.02	s3	30	9	9	1	Four players
8	Player1	Player4	Pick #5	7.99	1.98	s21	30.5	11	14	20	Four players
8	Player2	Player3	Pick #6	7.82	2.31	s9	31	12	15	23	Four players
8	Player3	Player2	Pick #7	8.02	1.37	s14	32	13	13	13	Four players
8	Player4	Player1	Pick #8	8.67	0.32	s1	33	14	11	3	Four players
8	Player1	Player1	Pick #1	10.12	2.68	s8	6.5	1	3	24	Four players
8	Player2	Player2	Pick #2	12.02	1.32	s16	11	2	1	7	Four players
8	Player3	Player3	Pick #3	9.72	1.54	s10	17.5	5	5	10	Four players
8	Player4	Player4	Pick #4	9.76	1.19	s5	17.5	6	4	6	Four players
8	Player1	Player4	Pick #5	9.71	1.03	s23	22	7	6	5	Four players
8	Player2	Player3	Pick #6	8.43	2.5	s1	27.5	10	13	22	Four players
8	Player3	Player2	Pick #7	8.72	0.78	s14	30.5	13	9	4	Four players
8	Player4	Player1	Pick #8	7.93	2.07	s21	34	14	15	17	Four players
8	Player1	Player1	Pick #1	12.97	1.5	s24	11	1	2	11	Four players
8	Player2	Player2	Pick #2	13.54	0.77	s20	12.5	2	1	4	Four players
8	Player3	Player3	Pick #3	12.25	1.27	s5	16	5	4	9	Four players
8	Player4	Player4	Pick #4	11.46	1.99	s14	16.5	6	6	16	Four players
8	Player1	Player4	Pick #5	11.23	1.9	s12	19	7	7	15	Four players
8	Player2	Player3	Pick #6	9.69	0.52	s16	33.5	13	11	2	Four players
8	Player3	Player2	Pick #7	9.49	0.59	s18	37	14	13	3	Four players
8	Player4	Player1	Pick #8	6.9	2.09	s7	43.5	18	20	18	Four players
8	Player1	Player1	Pick #1	12.68	1.39	s2	10.5	1	3	16	Four players
8	Player2	Player2	Pick #2	12.81	1.06	s4	10.5	2	2	12	Four players
8	Player3	Player3	Pick #3	12.58	0.76	s10	17.5	5	4	6	Four players
8	Player4	Player4	Pick #4	10.58	1.72	s20	17.5	6	7	18	Four players
8	Player1	Player4	Pick #5	9.14	2.69	s6	22.5	8	11	24	Four players
8	Player2	Player3	Pick #6	10.45	0.56	s18	26.5	11	8	4	Four players
8	Player3	Player2	Pick #7	8.41	1.02	s12	34	13	13	11	Four players
8	Player4	Player1	Pick #8	8.24	0.99	s15	39.25	15	15	8	Four players
8	Player1	Player1	Pick #1	13.53	2.1	s6	7.25	1	2	20	Four players
8	Player2	Player2	Pick #2	11.99	2.99	s20	14.5	4	7	24	Four players
8	Player3	Player3	Pick #3	12.99	1.64	s4	15.5	5	4	10	Four players
8	Player4	Player4	Pick #4	11.99	1.57	s15	19.25	6	5	8	Four players
8	Player1	Player4	Pick #5	10.29	1.95	s23	28.5	13	12	16	Four players
8	Player2	Player3	Pick #6	8.41	1.96	s18	36	15	16	17	Four players
8	Player3	Player2	Pick #7	7.29	2.08	s2	37	16	17	19	Four players
8	Player4	Player1	Pick #8	6.87	0.65	s13	47	19	18	3	Four players
8	Player1	Player1	Pick #1	11.94	2.46	s22	10	1	4	21	Four players
